bundle,family,stage,model,bin,n_bin_predictions,sample_index_min,sample_index_max,source_file,state_0_occupancy,state_1_occupancy,mean_confidence,mean_entropy_bits,switch_rate
pipeline,parity,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,1,7018,10828,160257,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,0.0,1.0,nan,nan,0.0
pipeline,parity,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,2,7018,17960,223995,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,0.0,1.0,nan,nan,0.0
pipeline,parity,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,3,7018,25132,312239,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,0.41436306640068393,0.585636933599316,nan,nan,0.00014251104460595695
pipeline,parity,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,4,7017,261928,375439,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,1.0,0.0,nan,nan,0.0
pipeline,parity,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,5,7017,269134,437721,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,1.0,0.0,nan,nan,0.0
pipeline,parity,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,6,7017,276402,502362,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,1.0,0.0,nan,nan,0.0
pipeline,parity,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,7,7017,279878,581877,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,1.0,0.0,nan,nan,0.0
pipeline,parity,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,8,7017,517625,644687,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,0.9988599116431524,0.0011400883568476556,nan,nan,0.002280501710376283
pipeline,parity,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,9,7017,523226,701474,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,0.9018098902664956,0.09819010973350435,nan,nan,0.13255416191562144
pipeline,parity,05_dmm,dmm,0,70148,0,96243,pipeline\pipeline\parity\05_dmm\20260505_040832_dmm_together_parity_family\predictions_dmm.npz,0.0005559673832468495,0.9994440326167532,0.9997723672266879,0.0009945795474055477,0.0010834390636805565
pipeline,parity,05_dmm,dmm,1,70148,10764,159349,pipeline\pipeline\parity\05_dmm\20260505_040832_dmm_together_parity_family\predictions_dmm.npz,0.001539601984375891,0.9984603980156241,0.9997582626696588,0.001052195194942548,0.0030507363108899883
pipeline,parity,05_dmm,dmm,2,70148,17940,222179,pipeline\pipeline\parity\05_dmm\20260505_040832_dmm_together_parity_family\predictions_dmm.npz,0.001796202315105206,0.9982037976848948,0.9995938238133969,0.0015185188325186156,0.0035924558427302663
pipeline,parity,05_dmm,dmm,3,70148,25116,310413,pipeline\pipeline\parity\05_dmm\20260505_040832_dmm_together_parity_family\predictions_dmm.npz,0.3694617095284256,0.6305382904715744,0.9975240035019205,0.009018572626638586,0.0080830256461431
