bundle,family,stage,model,source_file,resample_unit,n_predictions,state,metric,n_blocks,bootstrap_replicates,ci_low_2p5,bootstrap_median,ci_high_97p5,bootstrap_mean,bootstrap_std,block_min,block_max
pipeline,x_loop,01_cthmm,gpu_cthmm,pipeline\pipeline\x_loop\01_cthmm\20260505_091222_cthmm_together_x_loop_family\teacher_predictions.npz,contiguous_blocks,186000,0,p90_dwell_windows,91,200,9.912115384615385,12.8478021978022,16.103846153846156,12.924445054945059,1.7086531538548617,4.0,65.0
pipeline,x_loop,01_cthmm,gpu_cthmm,pipeline\pipeline\x_loop\01_cthmm\20260505_091222_cthmm_together_x_loop_family\teacher_predictions.npz,contiguous_blocks,186000,1,mean_dwell_windows,91,200,3.7369759808988325,4.820835849651542,5.885786302725687,4.762064691933606,0.572631706998717,1.844569288389513,29.338709677419356
pipeline,x_loop,01_cthmm,gpu_cthmm,pipeline\pipeline\x_loop\01_cthmm\20260505_091222_cthmm_together_x_loop_family\teacher_predictions.npz,contiguous_blocks,186000,1,median_dwell_windows,91,200,1.8130494505494505,2.090659340659341,2.4287087912087912,2.0956868131868136,0.15706971794096178,1.0,9.0
pipeline,x_loop,01_cthmm,gpu_cthmm,pipeline\pipeline\x_loop\01_cthmm\20260505_091222_cthmm_together_x_loop_family\teacher_predictions.npz,contiguous_blocks,186000,1,p90_dwell_windows,91,200,9.144642857142859,12.286813186813191,15.599258241758244,12.299802197802201,1.660954467300313,3.0,75.69999999999999
pipeline,x_loop,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\x_loop\02_cnn_gru_independent\20260505_092006_cnn_gru_together_x_loop_family\predictions_cnn_independent.npz,contiguous_blocks,186000,0,mean_dwell_windows,91,200,1597.3679673600209,1715.2465463108324,1828.6884419152277,1714.3325243982208,58.97028198201383,203.4,2048.0
pipeline,x_loop,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\x_loop\02_cnn_gru_independent\20260505_092006_cnn_gru_together_x_loop_family\predictions_cnn_independent.npz,contiguous_blocks,186000,0,median_dwell_windows,91,200,1566.742032967033,1696.228021978022,1820.460989010989,1692.6326923076924,69.3196222972221,8.0,2048.0
pipeline,x_loop,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\x_loop\02_cnn_gru_independent\20260505_092006_cnn_gru_together_x_loop_family\predictions_cnn_independent.npz,contiguous_blocks,186000,0,p90_dwell_windows,91,200,1737.801373626374,1837.907692307692,1904.575,1834.422741758242,43.2446590747066,667.9999999999999,2048.0
pipeline,x_loop,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\x_loop\02_cnn_gru_independent\20260505_092006_cnn_gru_together_x_loop_family\predictions_cnn_independent.npz,contiguous_blocks,186000,1,mean_dwell_windows,22,200,1.0863636363636362,1.2558080808080807,1.4597222222222224,1.2670214646464648,0.09340579441627811,1.0,2.6666666666666665
pipeline,x_loop,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\x_loop\02_cnn_gru_independent\20260505_092006_cnn_gru_together_x_loop_family\predictions_cnn_independent.npz,contiguous_blocks,186000,1,median_dwell_windows,22,200,1.0227272727272727,1.1590909090909092,1.31875,1.1536363636363638,0.07526549489335466,1.0,2.0
pipeline,x_loop,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\x_loop\02_cnn_gru_independent\20260505_092006_cnn_gru_together_x_loop_family\predictions_cnn_independent.npz,contiguous_blocks,186000,1,p90_dwell_windows,22,200,1.245340909090909,1.525,1.873068181818182,1.534181818181818,0.16258925931720553,1.0,3.6
