bundle,family,stage,model,source_file,metric,n_bins,mean_across_bins,min_bin_value,max_bin_value,range_max_minus_min,std_across_bins,relative_range_over_mean_abs
pipeline,parity,05_dmm,dmm,pipeline\pipeline\parity\05_dmm\20260505_040832_dmm_together_parity_family\predictions_dmm.npz,switch_rate,20,0.002136971459527272,0.0,0.013144013913836855,0.013144013913836855,0.003181251060847084,6.150767178118746
pipeline,x_loop,01_cthmm,gpu_cthmm,pipeline\pipeline\x_loop\01_cthmm\20260505_091222_cthmm_together_x_loop_family\teacher_predictions.npz,state_0_occupancy,20,0.5088440860215054,0.03849462365591398,0.7550537634408602,0.7165591397849462,0.20801143285737467,1.4082096254424425
pipeline,x_loop,01_cthmm,gpu_cthmm,pipeline\pipeline\x_loop\01_cthmm\20260505_091222_cthmm_together_x_loop_family\teacher_predictions.npz,state_1_occupancy,20,0.4911559139784947,0.24494623655913977,0.9615053763440861,0.7165591397849462,0.20801143285737464,1.4589239778884568
pipeline,x_loop,01_cthmm,gpu_cthmm,pipeline\pipeline\x_loop\01_cthmm\20260505_091222_cthmm_together_x_loop_family\teacher_predictions.npz,mean_confidence,20,0.6068597791502552,0.5871905050739166,0.6766390160655462,0.08944851099162965,0.01976851315676638,0.147395681942999
pipeline,x_loop,01_cthmm,gpu_cthmm,pipeline\pipeline\x_loop\01_cthmm\20260505_091222_cthmm_together_x_loop_family\teacher_predictions.npz,mean_entropy_bits,20,0.9493582225949867,0.8753520214962867,0.9667538582011193,0.0914018367048326,0.020593569394250277,0.09627750045182498
pipeline,x_loop,01_cthmm,gpu_cthmm,pipeline\pipeline\x_loop\01_cthmm\20260505_091222_cthmm_together_x_loop_family\teacher_predictions.npz,switch_rate,20,0.3166577051295839,0.057640606516829763,0.3986450155930745,0.34100440907624474,0.07848316267089572,1.0768865041092166
pipeline,x_loop,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\x_loop\02_cnn_gru_independent\20260505_092006_cnn_gru_together_x_loop_family\predictions_cnn_independent.npz,state_0_occupancy,20,0.9995483870967743,0.9955913978494624,1.0,0.004408602150537622,0.0010387693152221608,0.004410594031713234
pipeline,x_loop,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\x_loop\02_cnn_gru_independent\20260505_092006_cnn_gru_together_x_loop_family\predictions_cnn_independent.npz,state_1_occupancy,20,0.00045161290322580643,0.0,0.004408602150537635,0.004408602150537635,0.0010387693152221638,9.761904761904763
pipeline,x_loop,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\x_loop\02_cnn_gru_independent\20260505_092006_cnn_gru_together_x_loop_family\predictions_cnn_independent.npz,mean_confidence,20,0.5042680050410251,0.5034020612573111,0.5054880395820064,0.002085978324695259,0.0006485064820686617,0.0041366461957576565
pipeline,x_loop,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\x_loop\02_cnn_gru_independent\20260505_092006_cnn_gru_together_x_loop_family\predictions_cnn_independent.npz,mean_entropy_bits,20,0.9999396491765153,0.9999048177123041,0.9999612769917737,5.6459279469622814e-05,1.7313181381087194e-05,5.646268703928179e-05
pipeline,x_loop,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\x_loop\02_cnn_gru_independent\20260505_092006_cnn_gru_together_x_loop_family\predictions_cnn_independent.npz,switch_rate,20,0.0006559845144639209,0.0,0.004946768469727927,0.004946768469727927,0.0013100748364420207,7.5409836065573765
pipeline,x_loop,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\x_loop\03_cnn_gru_teacher_assisted\20260505_092550_cnn_gru_together_x_loop_family\predictions_cnn_teacher_assisted.npz,state_0_occupancy,20,0.4789569892473118,0.02043010752688172,0.7373118279569892,0.7168817204301076,0.22118375478061497,1.4967559436948568
pipeline,x_loop,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\x_loop\03_cnn_gru_teacher_assisted\20260505_092550_cnn_gru_together_x_loop_family\predictions_cnn_teacher_assisted.npz,state_1_occupancy,20,0.5210430107526882,0.26268817204301076,0.9795698924731183,0.7168817204301076,0.22118375478061497,1.375859009018305
pipeline,x_loop,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\x_loop\03_cnn_gru_teacher_assisted\20260505_092550_cnn_gru_together_x_loop_family\predictions_cnn_teacher_assisted.npz,mean_confidence,20,0.5940695697392827,0.5777203743432158,0.6664867441756751,0.08876636983245934,0.023737184082927628,0.1494208327678119
pipeline,x_loop,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\x_loop\03_cnn_gru_teacher_assisted\20260505_092550_cnn_gru_together_x_loop_family\predictions_cnn_teacher_assisted.npz,mean_entropy_bits,20,0.960332296444698,0.8990114151498163,0.9764777576463921,0.0774663424965758,0.019309815265734793,0.0806661848022486
pipeline,x_loop,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\x_loop\03_cnn_gru_teacher_assisted\20260505_092550_cnn_gru_together_x_loop_family\predictions_cnn_teacher_assisted.npz,switch_rate,20,0.06837294332723948,0.021507688998817078,0.10388213786428649,0.08237444886546941,0.01981079440471156,1.2047813777917586
pipeline,x_loop,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,pipeline\pipeline\x_loop\04_hsmm_using_cnn_embeddings\20260505_093246_hsmm_together_x_loop_family\hsmm_predictions.npz,state_0_occupancy,20,0.30064968273051296,0.0,0.5463414634146342,0.5463414634146342,0.15545830604004585,1.8172028603281343
pipeline,x_loop,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,pipeline\pipeline\x_loop\04_hsmm_using_cnn_embeddings\20260505_093246_hsmm_together_x_loop_family\hsmm_predictions.npz,state_1_occupancy,20,0.6993503172694869,0.45365853658536587,1.0,0.5463414634146342,0.15545830604004585,0.7812128627434476
pipeline,x_loop,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,pipeline\pipeline\x_loop\04_hsmm_using_cnn_embeddings\20260505_093246_hsmm_together_x_loop_family\hsmm_predictions.npz,switch_rate,20,0.08429307072510181,0.0,0.1364082433758587,0.1364082433758587,0.03599761917367746,1.6182616459746244
pipeline,x_loop,05_dmm,dmm,pipeline\pipeline\x_loop\05_dmm\20260505_094130_dmm_together_x_loop_family\predictions_dmm.npz,state_0_occupancy,20,0.0,0.0,0.0,0.0,0.0,0.0
pipeline,x_loop,05_dmm,dmm,pipeline\pipeline\x_loop\05_dmm\20260505_094130_dmm_together_x_loop_family\predictions_dmm.npz,state_1_occupancy,20,1.0,1.0,1.0,0.0,0.0,0.0
pipeline,x_loop,05_dmm,dmm,pipeline\pipeline\x_loop\05_dmm\20260505_094130_dmm_together_x_loop_family\predictions_dmm.npz,mean_confidence,20,0.5142556557136198,0.5141092390975645,0.514541092848265,0.00043185375070053933,0.00011839991339460778,0.0008397647082777663
pipeline,x_loop,05_dmm,dmm,pipeline\pipeline\x_loop\05_dmm\20260505_094130_dmm_together_x_loop_family\predictions_dmm.npz,mean_entropy_bits,20,0.9993969131776795,0.9993706623407765,0.9994110905800444,4.042823926786454e-05,1.1146189512753509e-05,4.045263571939504e-05
pipeline,x_loop,05_dmm,dmm,pipeline\pipeline\x_loop\05_dmm\20260505_094130_dmm_together_x_loop_family\predictions_dmm.npz,switch_rate,20,0.0,0.0,0.0,0.0,0.0,0.0
pipeline,z_loop,01_cthmm,gpu_cthmm,pipeline\pipeline\z_loop\01_cthmm\20260505_102554_cthmm_together_z_loop_family\teacher_predictions.npz,state_0_occupancy,20,0.6068571682201509,0.4993342210386152,0.725699067909454,0.22636484687083885,0.061332158783863944,0.37301173772857205
pipeline,z_loop,01_cthmm,gpu_cthmm,pipeline\pipeline\z_loop\01_cthmm\20260505_102554_cthmm_together_z_loop_family\teacher_predictions.npz,state_1_occupancy,20,0.3931428317798491,0.27430093209054596,0.5006657789613849,0.2263648468708389,0.06133215878386394,0.5757827145061568
pipeline,z_loop,01_cthmm,gpu_cthmm,pipeline\pipeline\z_loop\01_cthmm\20260505_102554_cthmm_together_z_loop_family\teacher_predictions.npz,mean_confidence,20,0.8103297541994442,0.7616924326842063,0.8620951859951019,0.10040275331089565,0.03407882007829715,0.12390357479849345
pipeline,z_loop,01_cthmm,gpu_cthmm,pipeline\pipeline\z_loop\01_cthmm\20260505_102554_cthmm_together_z_loop_family\teacher_predictions.npz,mean_entropy_bits,20,0.6146493198080333,0.4849452083290715,0.7275831311556369,0.24263792282656538,0.083212358305517,0.39475830364921877
